invoice_id,customer,issued_at,due_at,amount,currency,status
INV-2026-001,Acme Corp,2026-04-01,2026-04-30,4500.00,EUR,paid
INV-2026-002,Beta Industries,2026-04-01,2026-04-30,2800.00,EUR,paid
INV-2026-003,Cosmic Labs,2026-04-05,2026-05-05,1500.00,EUR,paid
INV-2026-004,DataDyne,2026-04-08,2026-05-08,3200.00,EUR,paid
INV-2026-005,Echo Systems,2026-04-10,2026-05-10,950.00,EUR,unpaid
INV-2026-006,Helios Corp,2026-04-15,2026-04-30,4800.00,EUR,paid
INV-2026-007,Massive Dynamic,2026-04-15,2026-04-30,5500.00,EUR,paid
INV-2026-008,Nexus Logistics,2026-04-18,2026-05-18,1400.00,EUR,unpaid
INV-2026-009,Quark Industries,2026-04-20,2026-05-20,3100.00,EUR,unpaid
INV-2026-010,Tyrell Corp,2026-04-22,2026-05-22,3800.00,EUR,unpaid
INV-2026-011,Umbrella,2026-05-01,2026-05-31,1600.00,EUR,unpaid
INV-2026-012,Vandelay,2026-05-01,2026-05-31,1100.00,EUR,unpaid
INV-2026-013,Globex,2026-03-15,2026-04-15,2100.00,EUR,unpaid
INV-2026-014,Jupiter Studios,2026-02-28,2026-03-30,1800.00,EUR,unpaid
INV-2026-015,Lumen,2026-05-01,2026-05-31,2600.00,EUR,paid
