customer_id,event_date,amount,currency
c0015,2026-01-15,93.3,usd
c0004,2026-01-15,103.19,usd
c0036,2026-01-15,102.35,usd
c0032,2026-01-15,101.99,usd
c0029,2026-01-15,112.27,usd
c0018,2026-01-15,94.47,usd
c0014,2026-01-15,87.99,usd
c0070,2026-01-15,91.93,usd
c0012,2026-01-15,91.48,usd
c0055,2026-01-15,109.7,usd
c0005,2026-01-15,85.86,usd
c0079,2026-01-15,99.16,usd
c0072,2026-01-15,109.05,usd
c0028,2026-01-15,90.0,usd
c0030,2026-01-15,90.14,usd
c0065,2026-01-15,108.61,usd
c0069,2026-01-15,102.14,usd
c0078,2026-01-15,94.29,usd
c0013,2026-01-15,83.49,usd
c0046,2026-01-15,91.17,usd
c0042,2026-01-15,103.43,usd
c0045,2026-01-15,106.97,usd
c0035,2026-01-15,103.93,usd
c0027,2026-01-15,85.34,usd
c0080,2026-01-15,110.42,usd
c0076,2026-01-15,108.05,usd
c0038,2026-01-15,104.74,usd
c0075,2026-01-15,108.89,usd
c0052,2026-01-15,87.41,usd
c0001,2026-01-15,86.57,usd
c0049,2026-01-15,89.55,usd
c0011,2026-01-15,89.78,usd
c0059,2026-01-15,86.52,usd
c0067,2026-01-15,103.34,usd
c0022,2026-01-15,86.97,usd
c0053,2026-01-15,99.8,usd
c0010,2026-01-15,103.92,usd
c0074,2026-01-15,88.55,usd
c0061,2026-01-15,95.71,usd
c0007,2026-01-15,89.73,usd
c0006,2026-01-15,84.23,usd
c0025,2026-01-15,109.33,usd
c0041,2026-01-15,103.53,usd
c0023,2026-01-15,85.62,usd
c0037,2026-01-15,101.97,usd
c0017,2026-01-15,93.2,usd
c0003,2026-01-15,87.4,usd
c0066,2026-01-15,103.3,usd
c0008,2026-01-15,101.0,usd
c0033,2026-01-15,88.08,usd
c0062,2026-01-15,94.61,usd
c0034,2026-01-15,89.46,usd
c0048,2026-01-15,109.07,usd
c0044,2026-01-15,90.03,usd
c0021,2026-01-15,104.75,usd
c0020,2026-01-15,91.08,usd
c0068,2026-01-15,105.38,usd
c0019,2026-01-15,108.22,usd
c0054,2026-01-15,105.26,usd
c0071,2026-01-15,96.64,usd
c0002,2026-01-15,91.39,usd
c0077,2026-01-15,101.2,usd
c0057,2026-01-15,98.28,usd
c0026,2026-01-15,100.27,usd
c0063,2026-01-15,112.59,usd
c0043,2026-01-15,105.89,usd
c0039,2026-01-15,96.89,usd
c0060,2026-01-15,88.0,usd
c0073,2026-01-15,111.87,usd
c0016,2026-01-15,89.63,usd
c0040,2026-01-15,112.39,usd
c0058,2026-01-15,105.52,usd
c0047,2026-01-15,110.15,usd
c0009,2026-01-15,89.15,usd
c0056,2026-01-15,93.94,usd
c0031,2026-01-15,94.48,usd
c0051,2026-01-15,96.79,usd
c0024,2026-01-15,107.68,usd
c0064,2026-01-15,90.69,usd
c0050,2026-01-15,94.93,usd
c0005,2026-02-15,86.89,usd
c0037,2026-02-15,103.19,usd
c0019,2026-02-15,109.51,usd
c0060,2026-02-15,89.06,usd
c0048,2026-02-15,110.37,usd
c0013,2026-02-15,84.49,usd
c0059,2026-02-15,87.56,usd
c0064,2026-02-15,91.78,usd
c0003,2026-02-15,88.45,usd
c0066,2026-02-15,104.54,usd
c0056,2026-02-15,95.07,usd
c0076,2026-02-15,109.34,usd
c0070,2026-02-15,93.03,usd
c0051,2026-02-15,97.95,usd
c0023,2026-02-15,86.64,usd
c0008,2026-02-15,102.21,usd
c0014,2026-02-15,89.05,usd
c0053,2026-02-15,101.0,usd
c0065,2026-02-15,109.91,usd
c0025,2026-02-15,110.64,usd
c0010,2026-02-15,105.17,usd
c0007,2026-02-15,90.8,usd
c0011,2026-02-15,90.86,usd
c0033,2026-02-15,89.14,usd
c0054,2026-02-15,106.53,usd
c0032,2026-02-15,103.21,usd
c0009,2026-02-15,90.22,usd
c0050,2026-02-15,96.07,usd
c0061,2026-02-15,96.86,usd
c0039,2026-02-15,98.05,usd
c0057,2026-02-15,99.46,usd
c0018,2026-02-15,95.6,usd
c0079,2026-02-15,100.35,usd
c0012,2026-02-15,92.58,usd
c0052,2026-02-15,88.45,usd
c0080,2026-02-15,111.74,usd
c0004,2026-02-15,104.43,usd
c0038,2026-02-15,105.99,usd
c0044,2026-02-15,91.11,usd
c0047,2026-02-15,111.47,usd
c0042,2026-02-15,104.67,usd
c0058,2026-02-15,106.79,usd
c0078,2026-02-15,95.42,usd
c0049,2026-02-15,90.63,usd
c0045,2026-02-15,108.25,usd
c0034,2026-02-15,90.53,usd
c0074,2026-02-15,89.61,usd
c0040,2026-02-15,113.74,usd
c0035,2026-02-15,105.18,usd
c0028,2026-02-15,91.08,usd
c0020,2026-02-15,92.17,usd
c0015,2026-02-15,94.42,usd
c0026,2026-02-15,101.48,usd
c0021,2026-02-15,106.01,usd
c0024,2026-02-15,108.98,usd
c0067,2026-02-15,104.58,usd
c0046,2026-02-15,92.27,usd
c0017,2026-02-15,94.31,usd
c0022,2026-02-15,88.01,usd
c0029,2026-02-15,113.61,usd
c0006,2026-02-15,85.25,usd
c0036,2026-02-15,103.58,usd
c0072,2026-02-15,110.36,usd
c0031,2026-02-15,95.61,usd
c0002,2026-02-15,92.48,usd
c0027,2026-02-15,86.37,usd
c0077,2026-02-15,102.42,usd
c0043,2026-02-15,107.16,usd
c0030,2026-02-15,91.23,usd
c0069,2026-02-15,103.37,usd
c0073,2026-02-15,113.22,usd
c0016,2026-02-15,90.71,usd
c0068,2026-02-15,106.64,usd
c0071,2026-02-15,97.8,usd
c0053,2026-03-15,102.2,usd
c0067,2026-03-15,105.82,usd
c0070,2026-03-15,94.14,usd
c0015,2026-03-15,95.54,usd
c0023,2026-03-15,87.67,usd
c0049,2026-03-15,91.7,usd
c0029,2026-03-15,114.96,usd
c0038,2026-03-15,107.25,usd
c0004,2026-03-15,105.67,usd
c0074,2026-03-15,90.68,usd
c0077,2026-03-15,103.63,usd
c0002,2026-03-15,93.58,usd
c0013,2026-03-15,85.49,usd
c0021,2026-03-15,107.27,usd
c0066,2026-03-15,105.78,usd
c0039,2026-03-15,99.22,usd
c0075,2026-03-15,111.51,usd
c0073,2026-03-15,114.56,usd
c0026,2026-03-15,102.68,usd
c0050,2026-03-15,97.21,usd
c0045,2026-03-15,109.54,usd
c0043,2026-03-15,108.43,usd
c0079,2026-03-15,101.54,usd
c0076,2026-03-15,110.64,usd
c0005,2026-03-15,87.92,usd
c0022,2026-03-15,89.06,usd
c0054,2026-03-15,107.79,usd
c0019,2026-03-15,110.81,usd
c0040,2026-03-15,115.09,usd
c0011,2026-03-15,91.94,usd
c0008,2026-03-15,103.42,usd
c0033,2026-03-15,90.2,usd
c0056,2026-03-15,96.2,usd
c0063,2026-03-15,115.29,usd
c0007,2026-03-15,91.88,usd
c0018,2026-03-15,96.74,usd
c0058,2026-03-15,108.05,usd
c0046,2026-03-15,93.36,usd
c0041,2026-03-15,106.02,usd
c0080,2026-03-15,113.07,usd
c0003,2026-03-15,89.5,usd
c0057,2026-03-15,100.64,usd
c0025,2026-03-15,111.96,usd
c0059,2026-03-15,88.6,usd
c0031,2026-03-15,96.74,usd
c0036,2026-03-15,104.81,usd
c0068,2026-03-15,107.9,usd
c0034,2026-03-15,91.61,usd
c0009,2026-03-15,91.29,usd
c0032,2026-03-15,104.44,usd
c0024,2026-03-15,110.27,usd
c0061,2026-03-15,98.01,usd
c0047,2026-03-15,112.79,usd
c0069,2026-03-15,104.6,usd
c0027,2026-03-15,87.39,usd
c0055,2026-03-15,112.33,usd
c0028,2026-03-15,92.16,usd
c0014,2026-03-15,90.11,usd
c0062,2026-03-15,96.88,usd
c0044,2026-03-15,92.19,usd
c0051,2026-03-15,99.11,usd
c0012,2026-03-15,93.67,usd
c0016,2026-03-15,91.78,usd
c0078,2026-03-15,96.56,usd
c0048,2026-03-15,111.68,usd
c0072,2026-03-15,111.67,usd
c0071,2026-03-15,98.96,usd
c0065,2026-03-15,111.21,usd
c0042,2026-03-15,105.91,usd
c0020,2026-03-15,93.26,usd
c0006,2026-03-15,86.26,usd
c0035,2026-04-15,107.68,usd
c0054,2026-04-15,109.05,usd
c0063,2026-04-15,116.64,usd
c0033,2026-04-15,91.25,usd
c0011,2026-04-15,93.01,usd
c0039,2026-04-15,100.38,usd
c0044,2026-04-15,93.28,usd
c0003,2026-04-15,90.55,usd
c0010,2026-04-15,107.66,usd
c0062,2026-04-15,98.02,usd
c0002,2026-04-15,94.68,usd
c0015,2026-04-15,96.66,usd
c0037,2026-04-15,105.64,usd
c0016,2026-04-15,92.86,usd
c0040,2026-04-15,116.44,usd
c0005,2026-04-15,88.95,usd
c0009,2026-04-15,92.36,usd
c0064,2026-04-15,93.96,usd
c0018,2026-04-15,97.87,usd
c0051,2026-04-15,100.27,usd
c0058,2026-04-15,109.32,usd
c0048,2026-04-15,112.99,usd
c0072,2026-04-15,112.98,usd
c0014,2026-04-15,91.16,usd
c0055,2026-04-15,113.65,usd
c0049,2026-04-15,92.78,usd
c0046,2026-04-15,94.45,usd
c0028,2026-04-15,93.24,usd
c0065,2026-04-15,112.52,usd
c0066,2026-04-15,107.02,usd
c0027,2026-04-15,88.42,usd
c0060,2026-04-15,91.17,usd
c0045,2026-04-15,110.82,usd
