customer_id,customer_name,status,signed_up_at,churned_at,mrr,plan
cus_001,Acme Corp,active,2023-08-12,,4500,enterprise
cus_002,Beta Industries,active,2023-11-04,,2800,growth
cus_003,Cosmic Labs,active,2024-01-22,,1500,growth
cus_004,DataDyne,active,2024-02-15,,3200,enterprise
cus_005,Echo Systems,active,2024-03-08,,950,starter
cus_006,Fjord Analytics,active,2024-04-19,,1200,growth
cus_007,Globex,active,2024-05-30,,2100,growth
cus_008,Helios Corp,active,2024-06-12,,4800,enterprise
cus_009,Initech,active,2024-07-21,,650,starter
cus_010,Jupiter Studios,active,2024-08-15,,1800,growth
cus_011,Kilo Ventures,active,2024-09-04,,1100,growth
cus_012,Lumen,active,2024-10-22,,2600,growth
cus_013,Massive Dynamic,active,2024-11-11,,5500,enterprise
cus_014,Nexus Logistics,active,2025-01-09,,1400,growth
cus_015,Orion Foods,active,2025-02-20,,800,starter
cus_016,Pied Piper,active,2025-03-15,,1900,growth
cus_017,Quark Industries,active,2025-04-01,,3100,enterprise
cus_018,Rylo,active,2025-05-12,,950,starter
cus_019,Sirius Energy,active,2025-06-08,,2400,growth
cus_020,Tyrell Corp,active,2025-07-19,,3800,enterprise
cus_021,Umbrella,active,2025-09-03,,1600,growth
cus_022,Vandelay,active,2025-10-15,,1100,growth
cus_023,Wonka Industries,active,2025-12-02,,950,starter
cus_024,Xanadu,active,2026-01-18,,2200,growth
cus_025,Yoyodyne,active,2026-02-25,,1750,growth
cus_026,Zephyr Tech,churned,2024-02-10,2025-08-30,0,growth
cus_027,Aperture Science,churned,2024-04-05,2025-11-15,0,starter
cus_028,Black Mesa,churned,2024-09-12,2026-02-05,0,growth
cus_029,Combine Tech,churned,2025-01-30,2026-03-20,0,starter
cus_030,Dharma Initiative,churned,2025-04-22,2026-04-10,0,starter
